Sector,name,site_name,town,rwater,Basin,GSI,SIC,Impaired,samp_location,samp_date,prev_storm,days_last_storm,ice,o_n_g,rain_ph,samp_ph,cod,tss,tp,tkn,no3,tot_copper,tot_zinc,tot_lead,24_hr_lc50,48_hr_lc50,hardness,conduct,per_sur
General/GT,Kamatics Corporation,Kamatics Corporation,11,Beaman's Brook,4404-09,470,3728,N,"CB #4-2, Outfall #4",10/13/11,10/4/11,9,N,0.7,5.97,5.86,17,5,0.02,0.3,0.09,0.005,0.057,0.001,100.00%,100.00%,0,5,95.00%
General/GT,Kamatics Corporation,Kamatics Corporation,11,Beaman's Brook,4404-09,470,3728,N,"CB #5-6, Outfall #5",10/13/11,10/4/11,9,N,0.7,5.97,6.21,13,2.5,0.01,0.24,0.025,0.002,0.007,0.001,100.00%,100.00%,0,6,100.00%
General/GT,Kamatics Corporation,Kamatics Corporation,11,Beaman's Brook,4404-09,470,3728,N,Outfall #8,10/13/11,10/4/11,9,N,0.7,5.97,6.03,19,2.5,0.01,0.36,0.07,0.002,0.016,0.001,100.00%,100.00%,2,7,100.00%
General/GT,Anocoil Corporation,Anocoil Corporation,146,Hockanum River,,2047,3471,Y,Main St/Waterfall/DSN #1,10/19/11,10/14/11,5,N,2.8,6.52,6.77,35.3,15,0.31,1.58,0.24,0.013,0.052,0.007,,,,,
General/GT,Anocoil Corporation,Anocoil Corporation,146,Hockanum River,,2047,3471,Y,Roof / DSN #2,10/19/11,10/14/11,5,N,1.2,6.52,5.32,47.3,4,0.03,0.72,1.56,0.029,0.049,0.007,,,,,
General/GT,Anocoil Corporation,Anocoil Corporation,146,Hockanum River,,2047,3471,Y,Shipping / DSN #3,10/19/11,10/14/11,5,N,0.5,6.52,7.09,25.6,20,0.86,1.88,0.56,0.015,0.09,0.006,,,,,
General/GT,Sargent Manufacturing,Sargent Manufacturing,93,New Haven Harbour,,1521,3441,Y,SW-S1,10/19/11,10/14/11,5,N,2.5,5.6,7.05,37,23,0.05,0.5,0.5,0.02,0.058,0.007,100.00%,100.00%,13,109,100.00%
General/GT,Sargent Manufacturing,Sargent Manufacturing,93,New Haven Harbour,,1521,3441,Y,SW-S2,10/19/11,10/14/11,5,N,2.5,5.6,6.25,37,2.5,0.05,3.7,0.37,0.087,0.13,0.029,20.30%,13.90%,5.2,79,0.00%
General/GT,Sargent Manufacturing,Sargent Manufacturing,93,New Haven Harbour,,1521,3441,Y,SW-S3,10/19/11,10/14/11,5,N,2.5,5.6,6.27,20,2.5,0.05,1.8,0.26,0.02,0.067,0.007,70.70%,66.00%,3.2,26,0.00%
General/GT,Sargent Manufacturing,Sargent Manufacturing,93,New Haven Harbour,,1521,3441,Y,SW-S4,10/19/11,10/14/11,5,N,2.5,5.6,6.22,19,2.5,0.05,0.5,0.27,0.043,0.25,0.007,40.60%,35.40%,2.7,91,0.00%
General/GT,Howmet Turbine Components Corp.,HTCC,14,Branford River,,207,3479,N,Outfall 001,11/10/11,10/29/11,12,N,0.5,7.2,6.26,66.3,32,0.25,2.24,0.05,0.012,0.143,0.004,100.00%,100.00%,5.15,111,60.00%
General/GT,Mannkind Corporation,Mannkind Corporation,34,Still River,6600,2164,2834,Y,SW-001,10/13/11,,>3,N,2.5,6,6.93,160,18,0.05,0.5,0.11,0.02,0.04,0.007,100.00%,100.00%,8.3,26,100.00%
General/GT,Mannkind Corporation,Mannkind Corporation,34,Still River,6600,2164,2834,Y,SW-002,10/13/11,,>3,N,2.5,6,6.82,61,17,0.05,0.5,0.05,0.02,0.02,0.007,100.00%,100.00%,3.7,14,100.00%
General/GT,Mannkind Corporation,Mannkind Corporation,34,Still River,6600,2164,2834,Y,SW-003,10/13/11,,>3,N,2.5,6,6.9,35,11,0.05,0.5,0.22,0.02,0.13,0.007,100.00%,100.00%,11,30,100.00%
General/GT,Mannkind Corporation,Mannkind Corporation,34,Still River,6600,2164,2834,Y,DA-001,10/13/11,,>3,N,2.5,6,7.11,240,2.5,0.05,0.5,0.05,0.02,0.072,0.007,100.00%,100.00%,15,29,75.00%
General/GT,Mannkind Corporation,Mannkind Corporation,34,Still River,6600,2162,2834,Y,DA-002,10/13/11,,>3,N,2.5,6,6.9,370,2.5,0.05,0.5,0.05,0.02,0.02,0.007,100.00%,100.00%,160,457,100.00%
General/GT,Mannkind Corporation,Mannkind Corporation,34,Still River,6600,2162,2834,Y,DA-002A,10/13/11,,>3,N,2.5,6,6.84,240,7,0.05,0.5,0.05,0.02,0.01,0.007,100.00%,100.00%,90,287,100.00%
General/GT,Town of Portland,Portland Wastewater Treatment,113,CT River,,2129,4952,N,WPCF-3LWR Main St.,10/19/11,10/14/11,5,N,0.5,,7.47,3.7,0.5,0.25,0.72,0.18,0.009,0.062,0.011,100.00%,100.00%,3.02,13,70.00%
General/GT,Mattabassett District,,33,Round Meadow/Boggy Meadow Swamp to Mattabassett River,,1700,4952,N,"Outfall #1 24"" reinforced concrete pipe",10/19/11,10/14/11,5,N,1,5.13,7.23,41,9,0.32,1.08,0.02,0.016,0.021,0.027,100.00%,100.00%,13,169,100.00%
General/GT,Mattabassett District,,33,Round Meadow/Boggy Meadow Swamp to Mattabassett River,,1700,4952,N,"Outfall #3 12"" Corrugated metal pipe",10/19/11,10/14/11,5,N,1,5.13,7.27,0.1,4,0.05,0.35,0.02,0.013,0.01,0.054,100.00%,100.00%,10,31,100.00%
General/GT,Mattabassett District,,33,Round Meadow/Boggy Meadow Swamp to Mattabassett River,,1700,4952,N,"Outfall #4 12"" reinforced concrete pipe",10/19/11,10/14/11,5,N,1,5.13,6.77,5,2,0.03,0.24,0.02,0.125,0.029,0.076,100.00%,100.00%,6,17,100.00%
General/GT,Mattabassett District,,33,Round Meadow/Boggy Meadow Swamp to Mattabassett River,,1700,4952,N,"Outfall #9 30"" reinforced concrete pipe",10/19/11,10/14/11,5,N,1,5.13,7.24,5,2,0.06,0.34,0.02,0.014,0.023,0.038,100.00%,100.00%,40,116,100.00%
General/GT,Times Microwave Systems,Times Microwave Systems,148,Quinnipiac River,,332,3679,Y,1,11/10/11,10/30/11,11,N,0.5,4.95,5.82,15,4,0.03,1.8,0.05,0.008,0.049,0.002,100.00%,78.10%,1.1,12,25.00%
General/GT,Times Microwave Systems,Times Microwave Systems,148,Quinnipiac River,,332,3679,Y,2,11/10/11,10/30/11,11,N,0.5,4.95,5.03,15,3,0.03,1.48,0.05,0.003,0.08,0.002,100.00%,82.00%,nd,10,30.00%
General/GT,Times Microwave Systems,Times Microwave Systems,148,Quinnipiac River,,332,3679,Y,3,11/10/11,10/30/11,11,N,0.5,4.95,6.67,11.3,0.5,0.03,1.52,0.68,0.012,0.046,0.001,100.00%,100.00%,19.49,154,75.00%
General/GT,"First Student, Inc.",#26000,9,Sympaug Brook,,2215,4151,,"27 Henry St., Bethel",10/19/11,10/14/11,5,N,2.2,5,6.4,41.4,1,0.23,0.5,0.1,0.005,0.15,0.01,,,,,
General/GT,DW Transport & Leasing Inc.,DW Transport,86,MS4,3004-00,2332,2400,N,"DWT-1 (24"" Pipe)",10/13/11,10/4/11,9,N,4.8,6,7.3,160,130,0.36,1.4,0.12,0.079,0.32,0.11,100.00%,100.00%,108,428,100.00%
General/GT,Aqua Blasting Corp.,Aqua Blasting Corp.,11,North Branch River,4404-00,2082,3471,N,#1 Catch basin,10/19/11,10/14/11,5,N,0.7,,6.07,5,2.5,0.02,0.16,0.09,0.001,0.066,0.001,70.70%,68.30%,2,71,0.00%
General/GT,Sun Products Corp.,North American R&D Center,144,Pequonnock River,,2223,2841,N,SW1,10/19/11,10/13/11,6,N,2.5,5.3,6.2,33,34,0.05,0.5,0.35,0.02,0.22,0.007,100.00%,100.00%,16,58,100.00%
General/GT,Thomas G. Faria Corp.,,64,Oxoboxo River Basin,3004,1414,3829,N,Outfall 1,10/14/11,10/3/11,11,N,2,6.37,5.88,90,19,0.29,1.3,0.03,0.04,0.145,0.045,100.00%,100.00%,6,20,100.00%
General/GT,Corbin Russwin,Corbin Russwin,7,"Webster Brook, Mattabasset River",,1492,3429,Y,Stormwater DSN 001,10/19/11,10/15/11,4,N,2.5,5.6,7,14,10,0.05,0.5,0.98,0.02,0.01,0.007,100.00%,100.00%,210,493,100.00%
General/GT,Corbin Russwin,Corbin Russwin,7,"Webster Brook, Mattabasset River",,1492,3429,Y,Stormwater DSN 002,10/19/11,10/15/11,4,N,2.5,5.6,7.8,31,7,0.05,0.5,0.05,0.02,0.01,0.007,100.00%,100.00%,160,840,100.00%
General/GT,Corbin Russwin,Corbin Russwin,7,"Webster Brook, Mattabasset River",,1492,3429,Y,Stormwater DSN 004,10/19/11,10/15/11,4,N,2.5,5.6,7.2,58,33,0.05,0.5,1.1,0.35,0.13,0.007,100.00%,100.00%,590,1976,75.00%
General/GT,Corbin Russwin,Corbin Russwin,7,"Webster Brook, Mattabasset River",,1492,3429,Y,Stormwater DSN 005,10/19/11,10/15/11,4,N,2.5,5.6,7.9,10,2.5,0.05,0.5,0.87,0.02,0.01,0.007,100.00%,100.00%,190,499,90.00%
General/GT,Town of Windsor Locks WPCA,Town of Windsor Locks WPCA,165,CT River,,1963,4952,N,Outfall #1,10/19/11,10/15/11,4,N,0.5,5.04,7.49,32.1,13,0.03,1.3,0.98,0.033,0.078,0.003,100.00%,100.00%,101.2,240,100.00%
General/GT,"First Student, Inc.",First Student- Hamden #20629,62,Lake Whitney,,2217,4151,N,1351 Dixwell Ave. Hamden,10/19/11,10/14/11,5,N,4.9,5,6.54,7.6,12,0.03,2.58,0.2,0.01,0.09,0.01,,,,,
General/GT,"Plainville Plating Co., Inc.","Plainville Plating Co., Inc.",110,Farmington River Watershed,,201,33,Y,SWD 001,10/19/11,10/14/11,5,N,0.5,5.74,5.41,0.5,0.5,0.03,1.24,0.05,0.008,0.053,0.007,100.00%,100.00%,1,5,85.00%
General/GT,"Combustion Engineering, Inc.","Combustion Engineering, Inc.",164,,,694,8744,N,Outfall 001,10/13/11,10/4/11,9,N,0.7,6.4,7.21,68,260,0.58,1.4,0.04,0.127,0.084,0.025,100.00%,100.00%,22,67,100.00%
General/GT,Flemings Transportation Inc,Flemings Transportation Inc Catch Basin CB8,139,,,649,4212,N,CB-8,10/19/11,10/14/11,5,N,0.5,6,8.63,28.9,1052,0.5,1.72,0.16,0.096,0.468,0.069,100.00%,100.00%,49.9,55,100.00%
General/GT,Stanley Access Technologies,Stanley Access Technologies,52,Pequabuck River,,739,3442,N,(RD-1) Roof Drain,10/19/11,10/14/11,5,N,1.05,4.84,4.7,62,16,0.06,2.3,1.3,0.018,1.17,0.0025,63.70%,37.90%,6,39,0.00%
General/GT,Stanley Access Technologies,Stanley Access Technologies,52,Pequabuck River,,739,3442,N,(SF-1) Front Parking Lot,10/19/11,10/14/11,5,N,0.85,4.84,5.9,48,9,0.1,1.1,0.66,0.006,0.092,0.0025,100.00%,100.00%,6,27,100.00%
