Sector,name,site_name,town,rwater,Basin,GSI,SIC,Impaired,samp_location,samp_date,prev_storm,days_last_storm,ice,o_n_g,rain_ph,samp_ph,cod,tss,tp,tkn,no3,tot_copper,tot_zinc,tot_lead,24_hr_lc50,48_hr_lc50,hardness,conduct,per_sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,City of Hartford,Dept. of Public Works,064,CT River,,001354,7699,Y,Outfall 1,11/10/11,10/29/11,12,N,15.00,5.55,6.64,270,230,0.450,2.800,0.310,0.052,0.300,0.065,100.00%,100.00%,52,738,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,City of Hartford,Dept. of Public Works,064,CT River,,001354,7699,Y,Outfall 4,11/10/11,10/29/11,12,N,57.00,5.55,6.65,470,420,0.780,4.900,0.250,0.058,0.366,0.071,70.70%,70.70%,228,3850,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Oxford,Oxford PWG,108,Eight Mile brook, 6023-09-1,001251,9199,Y,"41.42673 N, -73.14443 W (PWG) DSN-O3",10/27/11,10/20/11,7,N,2.4,4.73,7.00,43,21,0.09,2.11,1.9,0.01,2,0.048,100.00%,27.80%,46,1254,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Oxford,Oxford PWG,108,Eight Mile brook, 6023-09-1,001251,9199,Y,"41.42673 N, -73.14443 W (Xfer Station) DSN-02",10/27/11,10/20/11,7,N,2.6,4.73,6.50,123,42,0.37,3.28,2.1,0.033,0.184,0.015,100.00%,100.00%,46,1254,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Bethany,Bethany PWG,008,Wetlands waterbody,5303-00,000021,9199,Y,"41.44329 N, -72.99353 W (PWG) DSN-01",10/13/11,10/04/11,9,Y,2.2,5.03,6.60,5,26,0.07,0.3,0.7,0.005,0.015,0.015,67.30%,38.40%,22,58,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of New Fairfield,Dept. of Public Works,091,Ball Pond Brook,6402,001274,9199,N,DSN004,12/27/11,12/23/11,4,N,5.9,5.50,6.98,64,100,0.24,0.71,0.41,0.022,0.908,0.005,100.00%,87.70%,20,511,35.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of New Fairfield,Dept. of Public Works,091,Ball Pond Brook,6402,001274,9199,N,DSN007,12/27/11,12/23/11,4,N,4.9,5.50,7.04,66,210,0.52,0.9,0.38,0.053,0.205,0.014,100.00%,100.00%,32,157,95.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Vernon,Solid Waste Transfer Station,146,Hockanum River,4500,001201,7538,Y,Catch Basin TS-01,10/19/11,10/14/11,5,N,2.5,5.70,7.54,230,250,0.14,1.8,0.27,0.093,0.67,0.15,100.00%,100.00%,69,159,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Groton,Town Hall Annex Complex,059,Eccleston Brook,,000608,9199,N,Annex Outfall 1,11/10/11,10/30/11,11,N,2.1,8.04,6.60,5,19,0.06,0.38,0.05,0.005,0.015,0.015,100.00%,100.00%,6,88,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Groton,Town Hall Annex Complex,059,Eccleston Brook,,000608,9199,N,Annex Outfall 2,11/10/11,10/30/11,11,N,1,8.04,6.70,5,21,0.07,0.43,0.05,0.005,0.015,0.015,100.00%,100.00%,8,91,95.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Groton,Town Hall Annex Complex,059,Eccleston Brook,,000608,9199,N,Annex Outfall 3,11/10/11,10/30/11,11,N,1,8.04,6.80,5,53,0.28,0.96,0.2,0.027,0.015,0.015,100.00%,100.00%,10,13,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Groton,Town Hall Annex Complex,059,Eccleston Brook,,000608,9199,N,Annex Outfall 4,11/10/11,10/30/11,11,N,4.8,8.04,6.70,5,4,0.06,0.44,0.1,0.005,0.065,0.015,100.00%,100.00%,8,58,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Orange ,Orange Highway Garage,107,Indian River,,002405,9199,N,CB-4,10/19/11,10/14/11,5,N,1.2,4.63,7.02,139.3,1426,0.64,3.6,0.05,0.435,0.748,0.124,100.00%,100.00%,35.5,56,65.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Watertown,Watertown Highway Garage,153,Naugatuck River Basin,6900,001117,4953,,Highway Garage Oufall #2,11/29/11,11/23/11,6,N,11,5.84,7.09,102,279,0.53,2.1,0.1,0.03,0.25,0.03,31.70%,21.50%,103,155300,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Watertown,Watertown Highway Garage,153,Naugatuck River Basin,6900,001117,4953,,Highway Garage Oufall #1,11/29/11,11/23/11,6,N,5.1,5.84,7.08,49.6,77,0.16,1.58,0.1,0.02,0.13,0.01,100.00%,8850.00%,48.4,8050,35.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Middlebury,Middlebury PWG,081,Wetlands waterbody,6916-10,000958,9199,Y,"41.53716N, -73.08793W (PWG) DSN-01",10/27/11,10/20/11,7,Y,1.00,4.73,6.70,32.0,26.0,0.07,1.43,0.8,0.005,0.046,0.015,100.00%,100.00%,22,58,95.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Glastonbury,Public Works Garage,054,Roaring Brook,4009,000621,9919,N,Outfall #1 (PWG OF-1),10/27/11,10/19/11,8,N,1.60,,7.06,46,15,0.08,0.51,3.4,0.004,0.015,0.001,100.00%,100.00%,66,216,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Glastonbury,Public Works Garage,054,Roaring Brook,4009,000621,9919,N,Outfall #1 (PWG-OF 2),10/27/11,10/19/11,8,N,3.30,,7.56,140,140,0.33,1.6,1.7,0.019,0.081,0.015,100.00%,100.00%,148,3680,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Killingly,Public Works Garage,069,Five Mile River/ Thames Basin,,000685,,N,TG-1,08/15/12,,,N,1,5.50,5.70,100,430,0.71,1.2,0.21,0.082,0.24,0.077,100.00%,100.00%,16,214,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Killingly,Public Works Garage,069,Five Mile River/ Thames Basin,,000685,,N,TG-2,08/15/12,,,N,1,5.50,5.60,66,680,1,1.7,0.12,0.025,0.11,0.015,100.00%,100.00%,10,104,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Killingly,Public Works Garage,069,Five Mile River/ Thames Basin,,000685,,N,TG-3,08/15/12,,,N,1,5.50,5.70,64,190,0.56,1.4,0.1,0.0086,0.038,0.0042,100.00%,100.00%,4,114,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Plymouth,Plymouth WPCF,111,Pequabuck River,,001812,4952,,Outfall #001,09/18/12,09/08/12,10,N,3.9,5.62,6.15,1,11,0.05,0.62,0.1,0.005,0.005,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,City of New Haven,PW Garage,093,,CT5200-E-01,001690,9199,Y,Outlet #1,02/29/12,02/24/12,5,N,0.50,6.23,7.06,83.2,200,0.85,2.4,0.41,0.065,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,City of New Haven,PW Garage,093,,CT5200-E-01,001690,9199,Y,Outlet #2,02/29/12,02/24/12,5,N,2.40,6.23,6.21,73.8,84,0.16,0.92,0.44,0.037,0.059,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Middlefield,PW Garage,082,Coginchaug River,4607,002285,9199,,MD-1,11/16/11,11/10/11,6,,0.70,4.80,6.91,30,37,0.14,1.1,0.31,0.009,0.024,0.001,100.00%,100.00%,70,1439,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Middlefield,PW Garage,082,Coginchaug River,4607,002285,9199,,MD-2,11/16/11,11/10/11,6,,0.70,4.80,7.17,37,30,0.15,0.69,0.46,0.007,0.013,0.001,100.00%,100.00%,72,2580,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Thompson ,Thompson Town Garage,141,,,000562,,N,Town Garage E112E63-2,12/27/11,12/23/11,4,N,1,5.80,6.80,120,140,0.44,2,0.45,0.041,0.140,0.032,100.00%,75.17%,15,80,80.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Southington,Town Garage,131,Quinnipiac River,,000839,4953,Y,Outfall 1 Garage,10/19/12,10/16/12,3,N,0.70,5.18,7.17,42,30,0.23,0.79,0.1,0.0025,0.021,0.001,100.00%,100.00%,90,1937,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Avon,DPW Garage,004,Farmington River,,001202,9199,N,Outfall No. 1 (DPW OF-1),05/01/12,04/23/12,8,N,0.70,5.80,5.81,16,2.5,0.05,0.85,0.44,0.0025,0.171,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Bolton,Public Works Facility,012,Unnamed Wetland - Hop River Watershed, ,002145,9199,N,#1,11/10/11,10/30/11,11,N,3.40,4.20,4.58,48,77,0.11,0.45,0.24,0.013,0.11,0.005,100.00%,35.40%,72,1590,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Bolton,Public Works Facility,012,Unnamed Wetland - Hop River Watershed, ,002145,9199,N,#2,11/10/11,10/30/11,11,N,0.80,4.20,6.64,46,24,0.17,0.51,0.22,0.005,0.016,0.003,100.00%,100.00%,18,246,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Bolton,Public Works Facility,012,Unnamed Wetland - Hop River Watershed, ,002145,9199,N,#1,10/19/12,10/15/12,4,N,0.75,6.30,8.12,12,2.5,0.02,0.37,0.16,0.011,0.02,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Bolton,Public Works Facility,012,Unnamed Wetland - Hop River Watershed, ,002145,9199,N,#2,10/19/12,10/15/12,4,N,0.85,6.30,7.56,5,2.5,0.03,0.36,1.47,0.0025,0.008,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,City of Bridgeport - East Side,Bridgeport East Side WWTP,015,Long Island Sound,,001900,9199,Y,East Plant Catch Basin,05/01/12,04/23/12,8,N,0.70,,6.78,16,9,0.16,0.81,0.35,0.021,0.066,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,City of Bridgeport - East Side,Bridgeport East Side WWTP,015,Long Island Sound,,001900,9199,Y,East Side Catch Basin,06/12/12,06/01/12,11,N,0.70,5.28,7.56,29,2.5,0.69,1.17,2.86,0.0025,0.056,0.001,29.00%,17.10%,220,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Bethany,Bethany PWG,008,Wetlands waterbody,5303-00,002508,9199,Y,(PWG) DSN-O1,05/01/12,,,N,1.00,4.32,7.00,86,44,0.14,0.34,0.7,0.019,0.113,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Bethany,Bethany PWG,008,Wetlands waterbody,5303-00,002508,9199,Y,(PWG) DSN-O1,12/21/12,12/18/12,3,Y,5.30,4.39,6.90,81,112,0.51,0.93,0.05,0.023,0.342,0.015,100.00%,100.00%,11,59,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Berlin,,007,Mattabesset River,4600-00-3-R1,001790,9199/4953,Y,S-1,03/28/12,03/25/12,3,N,12.30,6.70,7.50,28,262,0.29,2.15,0.24,0.053,0.234,0.015,100.00%,100.00%,18,63,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Berlin,,007,Mattabesset River,4600-00-3-R1,001790,9199/4953,Y,S-2,03/28/12,03/25/12,3,N,6.90,6.70,6.50,17,207,0.22,1.5,0.18,0.028,0.152,0.015,100.00%,100.00%,15,39,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Berlin,,007,Mattabesset River,4600-00-3-R1,001790,9199/4953,Y,S-3,03/28/12,03/25/12,3,N,8.40,7.40,7.40,36,1812,1.69,5.86,0.19,0.1,0.233,0.11,100.00%,100.00%,70,102,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Berlin,,007,Mattabesset River,4600-00-3-R1,001790,9199/4953,Y,S-1,09/18/12,09/08/12,10,N,5.50,7.20,6.80,137,252,0.37,3,0.9,0.067,0.174,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Berlin,,007,Mattabesset River,4600-00-3-R1,001790,9199/4953,Y,S-2,09/18/12,09/08/12,10,N,3.10,7.20,6.40,79,39,0.21,2.52,1.08,0.026,0.059,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-MF,Town of Berlin,,007,Mattabesset River,4600-00-3-R1,001790,9199/4953,Y,S-3,09/18/12,09/08/12,10,N,19.10,7.20,7.40,161,210,2.71,13.7,1.02,0.098,0.154,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
